DateTime,CLOSE
1/3/2023,77.21
1/4/2023,73.22
1/5/2023,73.93
1/6/2023,73.73
1/9/2023,74.87
1/10/2023,74.71
1/11/2023,77.71
1/12/2023,78.26
1/13/2023,80.07
1/17/2023,81.04
1/18/2023,79.14
1/19/2023,80.58
1/20/2023,81.4
1/23/2023,81.62
1/24/2023,80.26
1/25/2023,80.44
1/26/2023,81.1
1/27/2023,79.38
1/30/2023,77.81
1/31/2023,79.03
2/1/2023,76.7
2/2/2023,76
2/3/2023,73.23
2/6/2023,74.46
2/7/2023,77.59
2/8/2023,78.48
2/9/2023,77.66
2/10/2023,79.76
2/13/2023,79.16
2/14/2023,78.84
2/15/2023,78.5
2/16/2023,78.07
2/17/2023,76.33
2/21/2023,76.05
2/22/2023,73.85
2/23/2023,75.65
2/24/2023,76.45
2/27/2023,75.76
2/28/2023,76.84
3/1/2023,77.72
3/2/2023,77.88
3/3/2023,79.85
3/6/2023,80.49
3/7/2023,77.21
3/8/2023,76.48
3/9/2023,75.6
3/10/2023,76.68
3/13/2023,74.69
3/14/2023,71.48
3/15/2023,68.23
3/16/2023,68.24
3/17/2023,66.34
3/20/2023,67.61
3/21/2023,69.5
3/22/2023,69.92
3/23/2023,69.47
3/24/2023,69.2
3/27/2023,72.89
3/28/2023,73.58
3/29/2023,72.81
3/30/2023,74.37
3/31/2023,75.7
4/3/2023,80.45
4/4/2023,81.05
4/5/2023,80.35
4/6/2023,80.46
4/10/2023,79.91
4/11/2023,81.46
4/12/2023,83.26
4/13/2023,82.43
4/14/2023,82.68
4/17/2023,80.95
4/18/2023,80.85
4/19/2023,78.96
4/20/2023,77.29
4/21/2023,77.95
4/24/2023,78.68
4/25/2023,77.13
4/26/2023,74.34
4/27/2023,74.82
4/28/2023,76.63
5/1/2023,75.75
5/2/2023,71.54
5/3/2023,68.14
5/4/2023,68.59
5/5/2023,71.32
5/8/2023,72.8
5/9/2023,73.53
5/10/2023,72.79
5/11/2023,71.42
5/12/2023,70.09
5/15/2023,71.3
5/16/2023,70.53
5/17/2023,72.67
5/18/2023,71.92
5/19/2023,71.67
5/22/2023,71.81
5/23/2023,73.78
5/24/2023,74.22
5/25/2023,71.81
5/26/2023,72.87
5/30/2023,69.54
5/31/2023,67.57
6/1/2023,70.15
6/2/2023,71.87
6/5/2023,71.91
6/6/2023,71.45
6/7/2023,72.46
6/8/2023,70.95
6/9/2023,70.35
6/12/2023,67.34
6/13/2023,69.28
6/14/2023,68.68
6/15/2023,70.57
6/16/2023,71.44
6/20/2023,70.94
6/21/2023,72.37
6/22/2023,69.53
6/23/2023,69.5
6/26/2023,69.53
6/27/2023,68.03
6/28/2023,69.15
6/29/2023,69.78
6/30/2023,70.45
7/3/2023,70.12
7/5/2023,71.83
7/6/2023,71.91
7/7/2023,73.67
7/10/2023,73.21
7/11/2023,74.81
7/12/2023,75.86
7/13/2023,77.21
7/14/2023,75.27
7/17/2023,74.12
7/18/2023,75.81
7/19/2023,75.4
7/20/2023,75.63
7/21/2023,76.83
7/24/2023,78.92
7/25/2023,79.32
7/26/2023,78.92
7/27/2023,79.82
7/28/2023,80.67
7/31/2023,81.76
8/1/2023,82.17
8/2/2023,79.75
8/3/2023,81.73
8/4/2023,82.64
8/7/2023,82.47
8/8/2023,82.84
8/9/2023,84.22
8/10/2023,82.87
8/11/2023,83.04
8/14/2023,82.47
8/15/2023,81.08
8/16/2023,79.26
8/17/2023,80.06
8/18/2023,81.4
8/21/2023,80.9
8/22/2023,80.25
8/23/2023,78.56
8/24/2023,78.88
8/25/2023,80.05
8/28/2023,79.97
8/29/2023,81.32
8/30/2023,81.71
8/31/2023,83.58
9/1/2023,86.05
9/5/2023,86.74
9/6/2023,87.58
9/7/2023,86.77
9/8/2023,87.23
9/11/2023,87.31
9/12/2023,88.78
9/13/2023,88.85
9/14/2023,90.69
9/15/2023,91.2
9/18/2023,92.25
9/19/2023,91.59
9/20/2023,90.27
9/21/2023,89.58
9/22/2023,90.33
9/25/2023,89.88
9/26/2023,90.54
9/27/2023,93.71
9/28/2023,91.81
9/29/2023,90.77
10/2/2023,88.62
10/3/2023,89.45
10/4/2023,84.44
10/5/2023,82.56
10/6/2023,82.81
10/9/2023,86.38
10/10/2023,85.96
10/11/2023,83.29
10/12/2023,83.5
10/13/2023,87.72
10/16/2023,87.05
10/17/2023,87.71
10/18/2023,88.16
10/19/2023,90.37
10/20/2023,89.02
10/23/2023,86.11
10/24/2023,83.69
10/25/2023,85.29
10/26/2023,83.5
10/27/2023,85.16
10/30/2023,82.59
10/31/2023,81.35
11/1/2023,80.9
11/2/2023,82.48
11/3/2023,80.89
11/6/2023,80.92
11/7/2023,77.13
11/8/2023,75.59
11/9/2023,75.58
11/10/2023,77.35
11/13/2023,78.51
11/14/2023,78.21
11/15/2023,76.58
11/16/2023,72.9
11/17/2023,75.84
11/20/2023,77.5
11/21/2023,77.81
11/22/2023,76.82
11/24/2023,75.18
11/27/2023,75.02
11/28/2023,76.58
11/29/2023,77.72
11/30/2023,75.61
12/1/2023,74.38
12/4/2023,73.29
12/5/2023,72.06
12/6/2023,69.25
12/7/2023,69.64
12/8/2023,71.26
12/11/2023,71.4
12/12/2023,68.76
12/13/2023,69.87
12/14/2023,71.65
12/15/2023,71.79
12/18/2023,72.56
12/19/2023,73.58
12/20/2023,73.82
12/21/2023,73.93
12/22/2023,73.49
12/26/2023,75.43
12/27/2023,73.82
12/28/2023,72.04
12/29/2023,71.33
,
,
数据来源：Wind,
