"DateTime","CLOSE"
2023-06-01,70.15
2023-06-02,71.87
2023-06-05,71.91
2023-06-06,71.45
2023-06-07,72.46
2023-06-08,70.95
2023-06-09,70.35
2023-06-12,67.34
2023-06-13,69.28
2023-06-14,68.68
2023-06-15,70.57
2023-06-16,71.44
2023-06-20,70.94
2023-06-21,72.37
2023-06-22,69.53
2023-06-23,69.5
2023-06-26,69.53
2023-06-27,68.03
2023-06-28,69.15
2023-06-29,69.78
2023-06-30,70.45
2023-07-03,70.12
2023-07-05,71.83
2023-07-06,71.91
2023-07-07,73.67
2023-07-10,73.21
2023-07-11,74.81
2023-07-12,75.86
2023-07-13,77.21
2023-07-14,75.27
2023-07-17,74.12
2023-07-18,75.81
2023-07-19,75.4
2023-07-20,75.63
2023-07-21,76.83
2023-07-24,78.92
2023-07-25,79.32
2023-07-26,78.92
2023-07-27,79.82
2023-07-28,80.67
2023-07-31,81.76
2023-08-01,82.17
2023-08-02,79.75
2023-08-03,81.73
2023-08-04,82.64
2023-08-07,82.47
2023-08-08,82.84
2023-08-09,84.22
2023-08-10,82.87
2023-08-11,83.04
2023-08-14,82.47
2023-08-15,81.08
2023-08-16,79.26
2023-08-17,80.06
2023-08-18,81.4
2023-08-21,80.9
2023-08-22,80.25
2023-08-23,78.56
2023-08-24,78.88
2023-08-25,80.05
2023-08-28,79.97
2023-08-29,81.32
2023-08-30,81.71
2023-08-31,83.58
2023-09-01,86.05
2023-09-05,86.74
2023-09-06,87.58
2023-09-07,86.77
2023-09-08,87.23
2023-09-11,87.31
2023-09-12,88.78
2023-09-13,88.85
2023-09-14,90.69
2023-09-15,91.2
2023-09-18,92.25
2023-09-19,91.59
2023-09-20,90.27
2023-09-21,89.58
2023-09-22,90.33
2023-09-25,89.88
2023-09-26,90.54
2023-09-27,93.71
2023-09-28,91.81
2023-09-29,90.77
2023-10-02,88.62
2023-10-03,89.45
2023-10-04,84.44
2023-10-05,82.56
2023-10-06,82.81
2023-10-09,86.38
2023-10-10,85.96
2023-10-11,83.29
2023-10-12,83.5
2023-10-13,87.72
2023-10-16,87.05
2023-10-17,87.71
2023-10-18,88.16
2023-10-19,90.37
2023-10-20,89.02
2023-10-23,86.11
2023-10-24,83.69
2023-10-25,85.29
2023-10-26,83.5
2023-10-27,85.16
2023-10-30,82.59
2023-10-31,81.35
2023-11-01,80.9
2023-11-02,82.48
2023-11-03,80.89
2023-11-06,80.92
2023-11-07,77.13
2023-11-08,75.59
2023-11-09,75.58
2023-11-10,77.35
2023-11-13,78.51
2023-11-14,78.21
2023-11-15,76.58
2023-11-16,72.9
2023-11-17,75.84
2023-11-20,77.5
2023-11-21,77.81
2023-11-22,76.82
2023-11-24,75.18
2023-11-27,75.02
2023-11-28,76.58
2023-11-29,77.72
2023-11-30,75.61
2023-12-01,74.38
2023-12-04,73.29
2023-12-05,72.06
2023-12-06,69.25
2023-12-07,69.64
2023-12-08,71.26
2023-12-11,71.4
2023-12-12,68.76
2023-12-13,69.87
2023-12-14,71.65
2023-12-15,71.79
2023-12-18,72.56
2023-12-19,73.58
2023-12-20,73.82
2023-12-21,73.93
2023-12-22,73.49
2023-12-26,75.43
2023-12-27,73.82
2023-12-28,72.04
2023-12-29,71.33
2024-01-02,70.5
2024-01-03,73.02
2024-01-04,72.4
2024-01-05,73.95
2024-01-08,70.92
2024-01-09,72.23
2024-01-10,71.32
2024-01-11,72.85
2024-01-12,72.76
2024-01-16,71.91
2024-01-17,72.84
2024-01-18,74.01
2024-01-19,73.71
2024-01-22,75.12
2024-01-23,74.51
2024-01-24,75.36
2024-01-25,77.1
2024-01-26,78.23
2024-01-29,76.98
2024-01-30,77.79
2024-01-31,75.85
2024-02-01,73.92
2024-02-02,72.41
2024-02-05,72.8
2024-02-06,73.45
2024-02-07,74.08
2024-02-08,76.46
2024-02-09,76.6
2024-02-12,76.94
2024-02-13,77.77
2024-02-14,76.56
2024-02-15,78.07
2024-02-16,79.22
2024-02-20,78.27
2024-02-21,78.06
2024-02-22,78.34
2024-02-23,76.57
2024-02-26,77.6
2024-02-27,78.52
2024-02-28,78.29
2024-02-29,78.3
2024-03-01,79.81
2024-03-04,78.76
2024-03-05,78.14
2024-03-06,79.12
2024-03-07,79.46
2024-03-08,77.85
2024-03-11,78.14
2024-03-12,78.03
2024-03-13,79.6
2024-03-14,81.08
2024-03-15,81
2024-03-18,82.79
2024-03-19,83.2
2024-03-20,81.84
2024-03-21,80.82
2024-03-22,80.82
2024-03-25,82
2024-03-26,81.29
2024-03-27,81.71
2024-03-28,83.11
2024-04-01,83.99
2024-04-02,85.44
2024-04-03,85.65
2024-04-04,86.86
2024-04-05,86.73
2024-04-08,86.57
2024-04-09,85.34
2024-04-10,86.25
2024-04-11,85.59
2024-04-12,85.45
2024-04-15,85.65
2024-04-16,85.31
2024-04-17,82.86
2024-04-18,82.51
2024-04-19,83.24
2024-04-22,83.02
2024-04-23,83.4
2024-04-24,82.84
2024-04-25,83.77
2024-04-26,83.66
2024-04-29,82.73
2024-04-30,81.55
2024-05-01,79.13
2024-05-02,79.06
2024-05-03,77.99
2024-05-06,78.69
2024-05-07,78.37
2024-05-08,79.22
2024-05-09,79.57
2024-05-10,78.2
2024-05-13,79.2
2024-05-14,78.45
2024-05-15,78.87
2024-05-16,79.36
2024-05-17,80
2024-05-20,79.65
2024-05-21,79.06
2024-05-22,77.25
2024-05-23,76.98
2024-05-24,77.8
2024-05-28,80.28
2024-05-29,79.28
2024-05-30,77.87
2024-05-31,77.18


数据来源：Wind
