region,period,mae,rmse,avg_diff
CN,2023.01-2023.12,3.2772669249758577,4.172292666996064,3.2772669249758577
CN,2023.06-2024.06,2.901246312454798,3.4345223406292553,2.901246312454798
US,2023.01-2023.12,4.52906444987634,4.9715306763425,4.52906444987634
US,2023.06-2024.06,6.469616329817606,7.491909841171739,6.469616329817606
