region,period,mae,rmse,avg_diff
CN,2023.01-2023.12,3.885061118507222,5.468840991031459,3.885061118507222
CN,2023.06-2024.06,1.491706156491608,2.0675634651915757,1.491706156491608
US,2023.01-2023.12,1.7729540931982073,2.3049687353236132,1.7729540931982073
US,2023.06-2024.06,2.957172323010164,3.717040361991748,2.957172323010164
